Feature_1,Feature_2,Correlation,Abs_Correlation
Ib,is_zero_Iref,-0.001007776852092198,0.001007776852092198
Imean,Power_factor,-0.0009575849689048065,0.0009575849689048065
dVb_dt,Vb_rollstd,0.0009480303119621882,0.0009480303119621882
dVb_dt,Power_factor,0.0009346312417682288,0.0009346312417682288
is_zero_Iref,Power_VcIc,0.0009218220766869692,0.0009218220766869692
Istd,dVa_dt,0.00085854770215075,0.00085854770215075
is_zero_Iref,Apparent_Power,0.0008510168620870184,0.0008510168620870184
Power_factor,Power_VcIc,0.000828630164874395,0.000828630164874395
dImean_dt,dVb_dt,0.0008001548452295092,0.0008001548452295092
Ic_Ia_ratio,dImean_dt,-0.0007893110733435041,0.0007893110733435041
Imean,Apparent_Power,-0.0007782236342530483,0.0007782236342530483
Power_factor,Ic_rollstd,0.0007692950423256605,0.0007692950423256605
Iref_rollmean,is_zero_Iref,-0.0007270624250700487,0.0007270624250700487
Iref_error,Apparent_Power,-0.0006766714592677266,0.0006766714592677266
Ib_rollmean,Power_factor,-0.0006431023350753597,0.0006431023350753597
Imean,Ic_Ia_ratio,-0.0006201197663626718,0.0006201197663626718
Ic,Power_factor,0.0006122821380356713,0.0006122821380356713
Ic_Ia_ratio,Idiff_ca,-0.0005899206850048796,0.0005899206850048796
Iref_error,Power_factor,-0.0005505765253148269,0.0005505765253148269
Iref_rollmean,dImean_dt,0.0005433422863701717,0.0005433422863701717
Ic_Ia_ratio,Ic_rollstd,0.0004586549932112553,0.0004586549932112553
Power_factor,Ia_rollstd,-0.00043788901892696563,0.00043788901892696563
Iref_error,dImean_dt,-0.0004205281044765903,0.0004205281044765903
Vmean,Ic_rollstd,0.00036360892553081607,0.00036360892553081607
Istd,Ic_Ia_ratio,0.0003599137681265904,0.0003599137681265904
dVa_dt,Va_rollstd,-0.00035848708361589036,0.00035848708361589036
THD,dVb_dt,0.00035331506565151606,0.00035331506565151606
dImean_dt,dIa_dt,0.00034636258665516804,0.00034636258665516804
dVc_dt,Vmean,0.000334732552773784,0.000334732552773784
THD,Apparent_Power,0.00032896654196341667,0.00032896654196341667
dImean_dt,Va_rollstd,-0.0003274576942796178,0.0003274576942796178
Ic_Ia_ratio,Ib_rollmean,0.0002997406128671972,0.0002997406128671972
Vmean,dIa_dt,-0.00027574732127171584,0.00027574732127171584
Power_factor,Power_VbIb,-0.0002756739266330777,0.0002756739266330777
